policy_year,lapse_rate,provenance
1,0.06,[std] year 1; nothing is forfeited by lapsing and the 30-day Widerrufsfrist [R8] sits inside it; argued range 2-8 pct (gap 13)
2,0.04,"[std] years 2-3; early-duration attrition, argued range 2-8 pct (gap 13); the GDV whole-market Stornoquote [R18] is deliberately not used"
3,0.04,"[std] years 2-3; early-duration attrition, argued range 2-8 pct (gap 13); the GDV whole-market Stornoquote [R18] is deliberately not used"
4,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
5,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
6,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
7,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
8,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
9,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
10,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
11,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
12,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
13,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
14,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
15,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
16,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
17,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
18,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
19,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
20,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
21,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
22,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
23,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
24,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
25,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
26,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
27,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
28,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
29,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
30,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
31,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
32,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
33,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
34,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
35,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
36,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
37,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
38,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
39,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
40,0.03,"[std] year 4 onward; flat tail, argued range 2-8 pct (gap 13); lapse_rate(n) is zeroed by the model, not by this table"
