point_id,policy_id,age_at_entry,sex,premium,pols_if_init,term_years,buffer,crediting_type,declared_cap,declared_step,declared_edge,participation,floor_rate,iv_family,amort_rule,nge_reset,wd_rate_ann,scenario_id,wd_schedule_id,provenance
1,RILA-000001,60,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.00,up,none,worked example anchor cell - Scenario A [std]; rows 0/A1/A2. wd_rate_ann is 0 because the worked example holds the Investment Amount at 100000 to the term midpoint
2,RILA-000002,60,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.00,down,worked,worked example anchor cell - Scenario B [std]; rows B1/B2/B3 with the illustrative 8000 withdrawal at the term midpoint
3,RILA-000003,60,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.02,up,none,the notes' base behavioural withdrawal rule [std]: 2% of Account Value at each anniversary from contract year 2
4,RILA-000004,75,F,100000,1,1,0.10,STEP,0.12,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.02,up,none,Step Rate crediting on a 1-year term [S1][S2]; declared step 8% [std]
5,RILA-000005,75,M,100000,1,1,0.10,EDGE,0.12,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.02,down,none,Step Rate Edge crediting on a 1-year term [S2]; declared edge 6% [std]
6,RILA-000006,75,F,100000,1,1,0.10,FLOOR,0.12,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.02,down,none,Floor crediting - the optional module the chassis does not offer [S5]; four-option replicating portfolio
7,RILA-000007,80,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,notional,straight_line,False,0.02,down,none,interim value family (b) - full notional discounted at a current rate plus the Cap Calculation Factor [S4][S6]
8,RILA-000008,80,F,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,delta,straight_line,False,0.02,down,none,interim value family (c) - a delta applied to the notional with no interest-rate adjustment term [S5]
9,RILA-000009,80,M,50000,1,1,0.10,CAP,0.10,0.08,0.06,1.00,0.10,legacy,straight_line,False,0.00,legacy,none,pre-AG 54 time-prorated interim value [S1]; the source worked example - 50000 / Shield 10 / 10% cap / index 500 to 600 at month 6 of 12
10,RILA-000010,80,F,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,updated_expiry,False,0.02,up,none,option-budget amortization at initial market conditions with updated time to expiry - the national form for [S3]
11,RILA-000011,80,M,100000,1,6,0.20,CAP,0.60,0.08,0.06,1.10,0.10,portfolio,straight_line,False,0.02,up,none,cap with a participation rate above 100% on a 20% buffer - the observed [S4] design
12,RILA-000012,81,M,100000,1,6,0.10,CAP,,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.02,down,none,uncapped Cap Rate option - the out-of-the-money call is valued at zero [S2]; issue age 81 on the down scenario exercises the death benefit band in which the return-of-premium guarantee does not apply [S2]
13,RILA-000013,80,F,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,straight_line,True,0.02,up,none,NGE cap redetermination switched on: the declared cap is re-solved at each Term Start Date and floored at the guaranteed minimum [S2][R5]
14,RILA-000014,80,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,portfolio,straight_line,False,0.00,up,charged,[std] variant taking a 20000 withdrawal at month 24 - above the Free Withdrawal Amount so the withdrawal charge and its non-gross-up are exercised
15,RILA-000015,60,M,100000,1,6,0.10,CAP,1.00,0.08,0.06,1.00,0.10,legacy,straight_line,False,0.00,charge_ex,none,the [S2] withdrawal charge example - 100000 payment and an 80000 Account Value at the start of contract year 6 giving a 8000 free amount / 72000 chargeable / 3% / 2160 charge / 77840 cash value. The pre-AG 54 engine is used only because it lands the Account Value on exactly 80000 at month 60
