form,sex,issue_age,term_y,prem_mth_per_100m,is_anchor,provenance
pure,M,30,20,7430.0,0,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납"
pure,M,40,20,15080.0,1,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납. is_anchor: the [std] age and term extension r(sex,x,m) = r_anchor * qbar(x,m) / qbar(x_a,m_a) runs off this row. The cell is the 감독규정 기준연령 요건 [REG-R9] and the disclosure's 대표계약 [S5], and the same premium appears independently in the cross-carrier disclosure [S4]"
pure,M,50,20,34850.0,0,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납"
pure,F,30,20,4580.0,0,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납"
pure,F,40,20,8010.0,1,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납. is_anchor: the [std] age and term extension r(sex,x,m) = r_anchor * qbar(x,m) / qbar(x_a,m_a) runs off this row. The cell is the 감독규정 기준연령 요건 [REG-R9] and the disclosure's 대표계약 [S5], and the same premium appears independently in the cross-carrier disclosure [S4]"
pure,F,50,20,15590.0,0,"[S12] published 월납 premium, 표준체 순수보장형 해약환급금 미지급형, 보험가입금액 1억원, 20년만기 20년납"
pure,M,40,10,9000.0,0,"[S6] published 월납 premium, 흥국생명 온라인정기보험 갱신형_기본형 표준체, 1억원, 10년만기 전기납; the same figure is the 갱신형 row of the cross-carrier disclosure [S4] and the 가입시 premium of the mandatory 예상 갱신보험료 예시 [S7]"
pure,M,50,10,21000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the first renewal, struck at attained 보험나이 50. The document's own caveat applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,M,60,10,56000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the second renewal, struck at attained 보험나이 60. The document's own caveat applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,M,70,10,201000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the third renewal, struck at attained 보험나이 70. The document's own caveat applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,F,40,10,6000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the issue (가입시) renewal, struck at attained 보험나이 40. NOTE THE PRODUCT FORM: 흥국생명 does not sell its 1형(기본형) to women, so the female column of [S7] and the female 갱신형 row of [S4] are on 2형(보장추가형), which carries a 재해사망보험금 the male 1형 rows do not. The two sexes on this axis are therefore not the same cover, and no shipped model point uses a female 갱신형 cell. The document's own caveat also applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,F,50,10,10000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the first renewal, struck at attained 보험나이 50. NOTE THE PRODUCT FORM: 흥국생명 does not sell its 1형(기본형) to women, so the female column of [S7] and the female 갱신형 row of [S4] are on 2형(보장추가형), which carries a 재해사망보험금 the male 1형 rows do not. The two sexes on this axis are therefore not the same cover, and no shipped model point uses a female 갱신형 cell. The document's own caveat also applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,F,60,10,24000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the second renewal, struck at attained 보험나이 60. NOTE THE PRODUCT FORM: 흥국생명 does not sell its 1형(기본형) to women, so the female column of [S7] and the female 갱신형 row of [S4] are on 2형(보장추가형), which carries a 재해사망보험금 the male 1형 rows do not. The two sexes on this axis are therefore not the same cover, and no shipped model point uses a female 갱신형 cell. The document's own caveat also applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
pure,F,70,10,103000.0,0,"[S7] 흥국생명 예상 갱신보험료 예시, 남/여 40세 가입, 1억원, 10년만기 갱신형: the premium at the third renewal, struck at attained 보험나이 70. NOTE THE PRODUCT FORM: 흥국생명 does not sell its 1형(기본형) to women, so the female column of [S7] and the female 갱신형 row of [S4] are on 2형(보장추가형), which carries a 재해사망보험금 the male 1형 rows do not. The two sexes on this axis are therefore not the same cover, and no shipped model point uses a female 갱신형 cell. The document's own caveat also applies - the path holds the rate scale frozen at its issue level and reflects 연령증가 alone"
rop,M,30,20,82640.0,0,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product"
rop,M,40,20,142000.0,1,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product. is_anchor: the 만기환급형 arm of the [std] extension. No 만기환급형 model point shipped here reaches an unpublished cell"
rop,M,50,20,271640.0,0,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product"
rop,F,30,20,58270.0,0,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product"
rop,F,40,20,87340.0,1,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product. is_anchor: the 만기환급형 arm of the [std] extension. No 만기환급형 model point shipped here reaches an unpublished cell"
rop,F,50,20,147500.0,0,"[S12] published 월납 premium, 표준체 만기환급형, 1억원, 20년만기 20년납. The 만기환급형 returns 100% of premiums paid at maturity and is priced at a lower 적용이율 (2.25% against 2.50%) than the 순수보장형 of the same product"
