point_id,policy_id,sex,issue_age,renewal_type,term_y,expiry_age,pay_term_y,renew_ceiling,sum_assured,rate_class,maturity_form,premium_mode,acc_death,waiver,accel,reinstatement,contract_boundary,note
1,KR-TL-0001,M,40,bi_gaengsin,20,0,0,80,100000000,standard,pure,monthly,0,0,0,0,ceiling,"anchor cell of the technical notes worked example: the 감독규정 기준연령 요건 and the disclosure 대표계약, male 40, 20년만기 전기납, 1억원, 표준체, 순수보장형 해약환급금 미지급형"
2,KR-TL-0002,F,40,bi_gaengsin,20,0,0,80,100000000,standard,pure,monthly,0,0,0,0,ceiling,"the anchor cell, female twin: the same doubly prescribed basis, published premium 8,010 a month"
3,KR-TL-0003,M,40,gaengsin,10,0,0,80,100000000,standard,pure,monthly,0,1,0,0,ceiling,"the 갱신형 anchor on the long contract-boundary reading: 10-year cycles repriced at attained 보험나이 to the ceiling of 80, the whole published renewal ladder, with the 납입면제 module on so that the waiver not surviving a renewal is exercised"
4,KR-TL-0004,M,40,gaengsin,10,0,0,80,100000000,standard,pure,monthly,0,1,0,0,current_term,"the same 갱신형 cell on the short contract-boundary reading: the projection stops at the end of the cycle in force"
5,KR-TL-0005,M,30,bi_gaengsin,20,0,10,80,50000000,standard,pure,monthly,0,0,0,0,ceiling,"shortened pay: 20년만기 10년납, so the 적용해지율 runs its disclosed 10년납 length and then steps to the post-완납 ultimate. The 무해지 surrender-value step-up this makes possible is specified and not computed"
6,KR-TL-0006,F,50,bi_gaengsin,20,0,0,80,30000000,standard,rop,monthly,0,0,0,0,ceiling,"만기환급형 variant at the sum-assured floor: the maturity benefit is 100% of premiums paid and the premium is 9.4 times the 순수보장형 one"
7,KR-TL-0007,M,65,bi_gaengsin,0,80,0,80,30000000,standard,pure,monthly,0,0,1,0,ceiling,"the maximum issue age on a 세만기 term to 80, with the 선지급서비스특약 on at a sum assured where the 5,000만원 cap does not bind"
8,KR-TL-0008,M,19,bi_gaengsin,30,0,0,80,500000000,super_preferred,pure,monthly,0,0,0,1,ceiling,"the minimum issue age and the maximum sum assured, on the best of the four published rate classes, with the 부활 module on"
9,KR-TL-0009,F,45,bi_gaengsin,0,80,20,80,200000000,nonsmoker,pure,monthly,0,0,1,0,ceiling,"a 세만기 term to 80 bought 20년납, on the 비흡연자 class, with the 선지급서비스특약 on at a sum assured where the 5,000만원 cap does bind"
10,KR-TL-0010,M,55,bi_gaengsin,20,0,0,80,100000000,preferred,pure,monthly,1,0,0,0,ceiling,"the 재해사망 uplift variant on the 건강체 class: twice the 보험가입금액 on 재해사망 and once otherwise, modelled as a split of the death decrement"
