scenario_id,t,index_level,mva_ref_yield,provenance
worked,0,5000.0000,0.0300,"worked example [std]; the index is flat at I = 5,000 through anniversary 7 and the MVA reference yield sits at its issue level"
worked,8,5450.0000,0.0350,"worked example; R(8) = 5,450/5,000 - 1 = 9.00% and it = 3.50% at the anniversary-8 surrender test, then both flat so index credits are zero from anniversary 9"
growth,0,1000.0000,0.0300,"[std] illustrative index path; twenty annual returns mixing gains above the 5.25% cap with losses that exercise the 0% floor, then flat, with the MVA reference yield at its issue level"
growth,1,1120.0000,0.0300,[std] illustrative index path
growth,2,1030.4000,0.0400,"[std] the reference yield rises 100 bp at anniversary 2 and stays there, so a withdrawal or surrender inside the ten-year MVA period carries a negative market value adjustment"
growth,3,1184.9600,0.0400,[std] illustrative index path
growth,4,1220.5088,0.0400,[std] illustrative index path
growth,5,1489.0207,0.0400,[std] illustrative index path
growth,6,1414.5697,0.0400,[std] illustrative index path
growth,7,1541.8810,0.0400,[std] illustrative index path
growth,8,1649.8127,0.0400,[std] illustrative index path
growth,9,1946.7790,0.0400,[std] illustrative index path
growth,10,1713.1655,0.0400,[std] illustrative index path
growth,11,1901.6137,0.0400,[std] illustrative index path
growth,12,2015.7105,0.0400,[std] illustrative index path
growth,13,2297.9100,0.0400,[std] illustrative index path
growth,14,2343.8682,0.0400,[std] illustrative index path
growth,15,2273.5522,0.0400,[std] illustrative index path
growth,16,2728.2626,0.0400,[std] illustrative index path
growth,17,2946.5236,0.0400,[std] illustrative index path
growth,18,3093.8498,0.0400,[std] illustrative index path
growth,19,3588.8658,0.0400,[std] illustrative index path
growth,20,3624.7545,0.0400,[std] illustrative index path
