basis,segment,from_year,lapse_rate,provenance
pension,premium_paying,0,0.040,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,premium_paying,1,0.035,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,premium_paying,2,0.030,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,premium_paying,3,0.025,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,premium_paying,5,0.020,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,premium_paying,10,0.015,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,paid_up,0,0.010,"[std] no public Korean lapse statistic for 연금저축보험 by policy year exists - one carrier's disclosure reads 적용안함 on every row [S13]; the curve is argued from the 16.5% 기타소득세 on surrender [S5] [S8] and from 계좌이체 being counted as termination [S1] [R13] [R22], and is deliberately flatter than a non-qualified savings vector"
pension,in_payment,0,0.000,"[S2] [S4] [S5] [S9] surrender is barred once a 종신연금형 is in payment, and a 확정기간연금형 pays its instalments to the count"
savings,premium_paying,0,0.080,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,premium_paying,1,0.070,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,premium_paying,2,0.060,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,premium_paying,3,0.050,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,premium_paying,5,0.040,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,premium_paying,10,0.030,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,paid_up,0,0.020,"[std] the comparison vector: a non-qualified savings contract with no 기타소득세 friction, carried so the two can be run side by side; it is not this product's basis [S13] [R13]"
savings,in_payment,0,0.000,[S2] [S4] [S5] [S9] surrender is barred once a 종신연금형 is in payment
