curve,key,value,provenance
build,0,0.0,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,1,0.0,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,3,0.456,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,5,0.625,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,10,0.737,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,15,0.783,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,20,0.826,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,30,1.012,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,40,1.225,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,50,1.441,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,60,1.589,"[S2] published 해약환급금 grid of a current 상품요약서, 표준형, 남자 5세, 상해 1급, 100세만기 20년납 월납 at 월납 50,000원: 환급률 as a ratio to premiums paid. 공시이율 1.7% (2026-07), 평균공시이율 2.5%, 최저보증이율 0.3%"
build,70,1.589,"[std] SHAPING: the published grid jumps from 60 years to 95 years [S2]; these rows carry the run-off between them and are a construction, not a published figure"
build,100,1.589,"[std] SHAPING: the published grid jumps from 60 years to 95 years [S2]; these rows carry the run-off between them and are a construction, not a published figure"
taper,0.0,1.0,"[std] CALIBRATED: the terminal collapse, expressed as a fraction of the build-up value and indexed on the fraction of the term run off, so one progression serves every 보험기간. Calibrated to reproduce the published 16.0% at 95 years on a 100세만기 contract [S2] and 0.0% at 만기 - there is no 만기환급금 on the protection part [S1] [S2]"
taper,0.85,1.0,"[std] CALIBRATED: the terminal collapse, expressed as a fraction of the build-up value and indexed on the fraction of the term run off, so one progression serves every 보험기간. Calibrated to reproduce the published 16.0% at 95 years on a 100세만기 contract [S2] and 0.0% at 만기 - there is no 만기환급금 on the protection part [S1] [S2]"
taper,0.9,0.55,"[std] CALIBRATED: the terminal collapse, expressed as a fraction of the build-up value and indexed on the fraction of the term run off, so one progression serves every 보험기간. Calibrated to reproduce the published 16.0% at 95 years on a 100세만기 contract [S2] and 0.0% at 만기 - there is no 만기환급금 on the protection part [S1] [S2]"
taper,0.95,0.1007,"[std] CALIBRATED: the terminal collapse, expressed as a fraction of the build-up value and indexed on the fraction of the term run off, so one progression serves every 보험기간. Calibrated to reproduce the published 16.0% at 95 years on a 100세만기 contract [S2] and 0.0% at 만기 - there is no 만기환급금 on the protection part [S1] [S2]"
taper,1.0,0.0,"[std] CALIBRATED: the terminal collapse, expressed as a fraction of the build-up value and indexed on the fraction of the term run off, so one progression serves every 보험기간. Calibrated to reproduce the published 16.0% at 95 years on a 100세만기 contract [S2] and 0.0% at 만기 - there is no 만기환급금 on the protection part [S1] [S2]"
