shape,policy_year,lapse_rate,provenance
LEVEL,1,0.08,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,2,0.07,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,3,0.06,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,4,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,5,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,6,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,7,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,8,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,9,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,10,0.05,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,11,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,12,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,13,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,14,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,15,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,16,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,17,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,18,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,19,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,20,0.04,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
LEVEL,21,0.03,"[std] no public anchor exists for level-premium FX persistency; reference judgement, see technical-notes.md class (c)"
SINGLE,1,0.28,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,2,0.23,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,3,0.18,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,4,0.14,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,5,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,6,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,7,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,8,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,9,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,10,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,11,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,12,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,13,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,14,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,15,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,16,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,17,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,18,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,19,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,20,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
SINGLE,21,0.08,"[std] calibrated so the four-year cumulative exit is 60.90%, against the FSA's ~60%-within-four-years reading of gaika-date ippatsubarai business [R5]; industry-wide kaiyaku-shikkoritsu 5.6% [REG-R31] is a different regime"
