point_id,policy_id,sex,issue_age,expiry_age,pay_term_y,sum_assured,premium,chassis,wait_months,reduction_months,similar_ratio,hosp_module,surg_module,treat_module,diag_module,waiver_trigger,cv_form,note
1,KR-CA-0001,M,40,100,20,30000000,45000,bi_gaengsin,3,12,0.20,1,1,1,1,cancer_diag,mijigeup,"anchor cell of the technical notes worked example: the 감독규정 기준연령 요건 male 40 [REG-R9], 100세 만기 20년납, 3,000만원, 표준체, 해약환급금 미지급형, all four benefit modules on, 90-day 면책기간 and a one-year 50% 감액기간. The 45,000 won premium is the figure the product specification states and is a modelling input, not a quoted rate; on the shipped basis it is about 32 per cent below the equivalence level the technical notes solve for (KRW 66,289 a month), which is why this is the one model point whose retrospective 계약자적립액 is exhausted before the end of the term. Every other model point carries its own equivalence premium at the 2.50% 예정이율"
2,KR-CA-0002,F,40,100,20,30000000,54000,bi_gaengsin,3,12,0.20,1,1,1,1,cancer_diag,mijigeup,"the anchor cell's female twin: at 40 the published female invasive rate is 2.52x the male and the 유사암 ratio to it is larger again, so this is the cell that shows why a unisex cancer basis is wrong in both directions"
3,KR-CA-0003,M,40,100,0,30000000,62000,gaengsin,0,0,0.20,1,1,1,1,cancer_diag,mijigeup,"the 10년 갱신형 chassis flag: no 면책기간 and no 감액기간 on a 갱신계약 [S2] [S4] [S6] [S7], the premium recomputed at the attained age on the rate basis then in force, and 전기납 because a renewable contract is paid for as long as it renews"
4,KR-CA-0004,F,30,100,20,50000000,65000,bi_gaengsin,3,24,0.20,1,1,1,1,cancer_diag,mijigeup,"young female on the modal two-year 감액기간 [S3 제14조제9항] [S4] [S5] [S7]: at 30 the 유사암 tier is larger than the invasive one, which is the exposure the August 2022 supervisory cut was about [R12]"
5,KR-CA-0005,M,15,100,20,30000000,39000,bi_gaengsin,3,12,0.20,1,1,1,1,cancer_diag,mijigeup,"the minimum issue age of the composite, 보험나이 15 [S1]: an 85-year projection, the longest in the library, and the age at which the 면책기간 carve-out of Child_KR_S switches sign"
6,KR-CA-0006,M,65,100,10,50000000,331000,bi_gaengsin,3,12,0.20,1,1,1,1,cancer_diag,mijigeup,"the maximum issue age, 보험나이 65 [S1], on a 10년납: the incidence curve's steep part, and the band [R4] names as carrying 수준리스크 from an absence of experience"
7,KR-CA-0007,F,55,100,0,30000000,52000,bi_gaengsin,3,12,0.20,0,0,0,1,cancer_diag,mijigeup,"the diagnosis-only shape of [S3] [S6] [S7] on a 전기납 basis: the three event modules off, so the contract pays a graded diagnosis lump sum and nothing else, and on the 미지급형 form a 전기납 contract has no surrender value at any duration [S3 제41조]"
8,KR-CA-0008,M,45,100,20,30000000,34000,bi_gaengsin,3,12,0.20,1,1,1,0,cancer_diag,mijigeup,"the treatment-cost-only shape of [S5]: the diagnosis limb switched off entirely, the inpatient, surgery and anti-cancer treatment modules on, which is the one retrieved contract with no diagnosis lump sum at all"
9,KR-CA-0009,F,50,100,20,100000000,194000,bi_gaengsin,3,0,0.20,1,1,1,1,none,pyojun,"the 표준형 surrender basis against the 미지급형 base [S3 제41조] [REG-R19], no 감액기간 at all -- the 2026 non-life edition's position on 일반암 [S2] -- and no premium waiver, so the diagnosed keep paying and can lapse; the sum-insured envelope at 1억원"
10,KR-CA-0010,M,35,100,30,10000000,23000,bi_gaengsin,3,24,0.70,1,1,1,1,cancer_diag,mijigeup,the pre-2022 유사암 ratio of 70% [S8] on a 30년납 at the sum-insured floor: the cell that prices what the reported August 2022 intervention [R12] removed
