band_start,band_end,stay_days,prob,provenance
0,14,2,0.565,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 7.6 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
0,14,8,0.325,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 7.6 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
0,14,20,0.080,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 7.6 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
0,14,45,0.022,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 7.6 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
0,14,160,0.008,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 7.6 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
15,34,2,0.460,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 10.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
15,34,8,0.340,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 10.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
15,34,20,0.150,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 10.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
15,34,45,0.036,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 10.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
15,34,160,0.014,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 10.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
35,64,2,0.300,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 20.2 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
35,64,8,0.325,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 20.2 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
35,64,20,0.225,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 20.2 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
35,64,45,0.100,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 20.2 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
35,64,160,0.050,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 20.2 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
65,120,2,0.190,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 35.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
65,120,8,0.240,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 35.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
65,120,20,0.250,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 35.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
65,120,45,0.200,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 35.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
65,120,160,0.120,"[std] five-band shape; probabilities solved so the row mean is the sourced 平均在院日数 35.5 d for this band [R6] [REG-R27]. The 32-band e-Stat grids (Z111, Z114-Z117, Z120) were not downloaded [R7] [REG-R33] - replace the whole table if you have them"
