line,value,base,timing,account,provenance
acq_charge,0.0517,basic_premium_mth,with_premium,general,"[S2] gyeyak chegyeol biyong 5.17 pct of the gibon boheomnyo (15,510 won a month on the anchor cell), deducted from the premium before it reaches the teukbyeol gyejeong, for ten years from the contract date; the model levies it for the shorter of ten years and the premium term [std], the two coinciding on [S2]'s own 10-nyeonnap contract"
maint_charge_in,0.035,basic_premium_mth,with_premium,general,"[S2] gyeyak gwalli biyong inside the premium-paying period, 3.50 pct of the gibon boheomnyo (10,500 won a month), deducted from the premium"
maint_charge_after,0.0133,basic_premium_mth,from_av,separate_to_general,"[S2] gyeyak gwalli biyong after nabip wallyo, 1.33 pct of the gibon boheomnyo (3,990 won a month; the document prints 4,000 won), taken from the gyeyakja jeongnibaek on the wol gyeyak haedangil [S7 je2jo]"
other_charge,0,basic_premium_mth,with_premium,general,"[std] gitabiyong is named by [R2]'s cash-flow identity and confirmed by [S7 je2jo] to be deducted at premium payment, but no retrieved sangpum yoyakseo quantifies it. Set to zero so the premium allocation reproduces the observed 91.33 pct exactly; the line is kept because the identity needs it"
gmdb_charge,0.0007,account_value_pa,from_av,separate_to_general,"[S1] choejeo samang boheomgeum bojeung biyong, yeon 0.07 pct of the teukbyeol gyejeong gyeyakja jeongnibaek, taken as 0.07 pct / 12 a month in the wolgongjeaek and held in the ilban gyejeong as bojeung junbigeum [R2]"
gmab_charge_asset,0.0025,account_value_pa,from_av,separate_to_general,"[S1] choejeo yeongeum jeongnipgeum bojeung biyong, asset component: yeon 0.25 pct of the gyeyakja jeongnibaek, monthly"
gmab_charge_prem,0.003,premium_total_pa,from_av_max_7y,separate_to_general,"[S1] choejeo yeongeum jeongnipgeum bojeung biyong, premium component: yeon 0.30 pct of the boheomnyo chongaek - 「imi nabiphan boheomnyo mit chuhu nabiphal gibon boheomnyo hapgye」 - for at most seven years. 9,000 won a month on the anchor cell, over 3 pct a year of the first-year account value"
surr_charge,0.2305555556,annual_basic_premium,on_surrender,separate_to_general,"[S2] haeyak gongjeaek C = 830,000 won on the anchor cell, expressed as 23.05556 pct of the annualized gibon boheomnyo so that it scales; run off as C x (7 - t) / 7 in elapsed whole years, nil from the end of the haeyak gongje gigan. Observed C across three carriers: 830,000 [S2], 1,077,000 [S5], 1,180,000 [S4]; the composite takes [S2]'s because the haeyak gongje is the unamortised gyeyak chegyeol biyong [R2] and the two must come from one carrier"
surr_charge_cap,0.05,annual_net_premium_x_factor,statutory_cap,none,"[REG-R20] pyojun haeyak gongjeaek of byeolpyo 14: 5 pct of the yeonnap sunboheomnyo times the haeyak gongje gyesu, the coefficient being the premium term capped at 12 [REG-R19 je7-66jo]. 1,643,940 won on the anchor cell, against which the representative C of 830,000 won is 50.5 pct. Note 6 to byeolpyo 14 further requires the loaded acquisition cost to be discounted and netted off the cap; no retrieved document works that netting and the exact residual cap is [unverified] [REG-R21]"
annuity_charge,0.005,annuity_annual,each_payment,general,"[S4] yeongeum suryeong gigan jung gyeyak gwalli biyong, yeon-geum yeonaek-ui 0.5 pct, netted off each payment [std]. [S2] publishes the alternative gujwa-dang maewol min(yeongeop boheomnyo 3.5 pct, 4,000 won); the composite takes the proportional form because it is scale-free"
fund_expense,0,separate_account_assets_pa,daily,separate_to_third_party,"[std] jeungkwon georae biyong and gicho peondeu bosu are ex-post estimates of actual spend and not contractual rates [S2], so they are set to zero and the modelled charges stay contractual. Observed 0.00-0.79 pct and 0.01-0.45 pct [S2] [S4]; the omission understates the drag by up to about 0.5 points a year"
comm_yr1,0.0134,premium_total,annual,general,"[R1 <pyo V-3>] wollap byeonaek yeongeum mojip susuryoyul, pyeonggyun, year 1: 1.34 pct of the total premiums the policyholder will pay. Observed range across the 2017 census 0.63-2.38 pct in year 1 and 1.10-3.13 pct in total"
comm_yr2,0.0041,premium_total,annual,general,"[R1 <pyo V-3>] year 2, pyeonggyun 0.41 pct"
comm_yr3,0.0028,premium_total,annual,general,"[R1 <pyo V-3>] year 3, pyeonggyun 0.28 pct"
comm_yr4,0.0025,premium_total,annual,general,"[R1 <pyo V-3>] year 4, pyeonggyun 0.25 pct"
comm_yr5,0.0011,premium_total,annual,general,"[R1 <pyo V-3>] year 5, pyeonggyun 0.11 pct; the five per-year means sum to 2.39 pct, against the mean total of 2.11 pct the same table reports separately - a mean of contract totals is not the sum of per-year means. The jeonsok seolgyesa channel is the composite's [std] channel choice: bancassurance and online acquisition costs were capped at 50 pct of it from 2016 and the one online byeonaek yeongeum [R1] found carried no acquisition commission at all"
expense_acq,300000.0,per_policy,at_issue,general,"[std] the insurer's own acquisition expense, 300,000 won per policy at issue. No Korean carrier publishes a unit cost: the sabihi disclosure is of charges, not of costs [R2] [S12]. A per-policy amount rather than a rate, because issue and underwriting cost does not scale with the premium"
expense_maint,3000.0,per_policy_month,monthly,general,"[std] the insurer's own maintenance expense, 3,000 won per policy per month, held level with no inflation [std] and running through the yeongeum suryeong gigan as well as the deferral"
