scenario_id,policy_year,decl_rate,term_rate,ans_rate,provenance
base,1,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,2,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,3,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,4,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,5,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,6,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,7,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,8,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,9,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,10,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,11,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,12,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,13,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,14,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,15,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,16,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,17,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,18,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,19,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,20,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,21,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,22,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,23,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,24,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,25,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,26,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,27,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,28,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,29,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,30,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,31,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,32,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,33,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,34,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,35,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,36,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,37,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,38,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,39,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
base,40,0.0270,0.0040,0.0270,[S11] Allianz 2026 laufende Verzinsung 2.70 pct for its classic endowment book; term_rate 0.40 pct and ans_rate 2.70 pct [std] - no terminal-bonus rate was established (gap 1); held level [std]
low,1,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,2,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,3,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,4,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,5,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,6,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,7,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,8,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,9,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,10,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,11,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,12,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,13,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,14,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,15,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,16,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,17,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,18,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,19,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,20,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,21,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,22,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,23,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,24,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,25,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,26,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,27,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,28,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,29,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,30,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,31,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,32,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,33,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,34,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,35,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,36,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,37,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,38,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,39,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
low,40,0.0120,0.0010,0.0120,[std] low declared-rate path; the corpus supports a direction and no path [R25] [R26]
nil,1,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,2,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,3,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,4,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,5,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,6,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,7,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,8,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,9,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,10,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,11,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,12,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,13,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,14,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,15,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,16,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,17,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,18,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,19,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
nil,20,0.0000,0.0000,0.0000,"[std] zero declared surplus; the level may be zero euros [S9], so the interest surplus is zero and never negative"
