item,value,provenance
int_rate_defer,0.0100,"[S8] deferral yotei riritsu on the current issue cohort; adoption [std]"
int_rate_payout,0.0065,"[S5] payout yotei riritsu, set separately from the deferral rate; adoption [std]"
expense_loading,0.0650,"[std] one deferral loading calibrated against the published specimen [S6]; the santei hoho sho is not published [REG-R2]"
annuitisation_charge,0.0100,"[std, new here] one payout loading on the nenkin genshi, calibrated with expense_loading against [S6]"
surr_charge_years,10,"[std] linear ten-year run-off of the kaiyaku kojo; both yakkan state the shape only [S2] [S4]"
surr_charge_prems,1,"[std, new here] base amount of one annual premium; it is what makes the sourced nil-or-negligible early value hold [S2] [S4]"
mort_be_factor_defer,0.85,"[std, new here] downward adjustment of a valuation table carrying a ~2-sigma margin capped at 130% [REG-R20]"
mort_be_factor_payout,1.10,"[std, new here] upward adjustment: the payout table is prudent for longevity, so its margin runs the other way; size [unverified]"
annuity_round_to,100,"[std, new here] kihon nenkin gaku rounded down to the nearest 100 yen, the granularity of published specimens [S3] [S5] [S6] [S10]"
div_int_rate,0.0060,"[S11] haito tsumitate riritsu, used only where a non-zero dividend is declared"
loan_rate,0.0240,"[S11] [S8] keiyakusha kashitsuke rate on the current issue cohort; limit [S4] [REG-R14]"
apl_rate,0.0800,"[S4] jido furikae kashitsuke rate cap, adopted at the cap [std]"
loan_draw_frac,0.50,"[std] fraction of the kaiyaku henreikin drawn where the keiyakusha kashitsuke module is on"
loan_draw_year,20,"[std] policy year at which the modelled loan is drawn"
lapse_dyn_phi,20,"[std] dynamic-lapse sensitivity to the excess of the new-business yotei riritsu over the rate at issue [S8]"
lapse_dyn_cap,2.0,"[std] cap on the dynamic-lapse multiplier"
commute_int_rate,0.0040,"[std] rate implied by the published ikkatsu barai factor table [S2], used outside its 1-14 range"
