sex,age_start,adm_rate,los_days,visit_rate_ge,visit_rate_np,act_rate_physio,act_rate_inject,act_rate_mri,provenance
M,0,0.012726,5.250000,2.073976,0.165685,0.013807,0.039449,0.003156,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,5,0.006363,4.125000,1.791162,0.130181,0.018409,0.031559,0.003945,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,10,0.005373,4.125000,1.414075,0.106512,0.032217,0.029981,0.005523,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,15,0.007070,4.500000,1.470638,0.146750,0.046024,0.037871,0.007890,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,20,0.008766,4.875000,1.395221,0.179887,0.055228,0.045761,0.009468,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,25,0.010463,5.250000,1.489492,0.205923,0.069036,0.055228,0.011361,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,30,0.012019,6.000000,1.659181,0.222492,0.081002,0.066274,0.013413,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,35,0.013008,6.750000,1.772307,0.231960,0.086525,0.073375,0.014675,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,40,0.014140,7.500000,1.885433,0.236694,0.092047,0.078898,0.015780,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,45,0.017674,8.250000,2.224811,0.279298,0.112298,0.096255,0.020198,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,50,0.022623,9.375000,2.677315,0.331371,0.138071,0.116769,0.026036,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,55,0.028986,10.500000,3.242945,0.383444,0.163845,0.140438,0.032348,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,60,0.037470,12.000000,3.959410,0.437883,0.184095,0.165685,0.039449,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,65,0.048074,13.875000,4.807855,0.485222,0.193300,0.189355,0.045761,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,70,0.061507,16.125000,5.656299,0.497056,0.184095,0.201190,0.050495,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,75,0.078474,18.750000,6.316201,0.461552,0.161083,0.197245,0.051284,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,80,0.098977,21.750000,6.693288,0.414214,0.124264,0.177520,0.047339,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
M,85,0.121600,24.750000,6.787559,0.366875,0.087445,0.145961,0.041027,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,0,0.012089,5.512500,2.385073,0.190538,0.016569,0.045366,0.003314,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,5,0.006045,4.331250,2.059836,0.149709,0.022091,0.036293,0.004142,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,10,0.005104,4.331250,1.626186,0.122489,0.038660,0.034478,0.005799,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,15,0.006716,4.725000,1.691234,0.168763,0.055228,0.043552,0.008284,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,20,0.008328,5.118750,1.604504,0.206870,0.066274,0.052625,0.009941,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,25,0.009940,5.512500,1.712916,0.236812,0.082843,0.063513,0.011929,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,30,0.011418,6.300000,1.908058,0.255866,0.097202,0.076215,0.014083,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,35,0.012358,7.087500,2.038153,0.266754,0.103830,0.084381,0.015409,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,40,0.013433,7.875000,2.168248,0.272198,0.110457,0.090733,0.016569,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,45,0.016791,8.662500,2.558533,0.321193,0.134758,0.110694,0.021208,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,50,0.021492,9.843750,3.078912,0.381077,0.165685,0.134284,0.027338,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,55,0.027537,11.025000,3.729387,0.440960,0.196613,0.161504,0.033966,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,60,0.035596,12.600000,4.553321,0.503566,0.220914,0.190538,0.041421,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,65,0.045671,14.568750,5.529033,0.558005,0.231960,0.217758,0.048049,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,70,0.058432,16.931250,6.504744,0.571615,0.220914,0.231368,0.053019,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,75,0.074551,19.687500,7.263631,0.530785,0.193300,0.226831,0.053848,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,80,0.094028,22.837500,7.697281,0.476346,0.149117,0.204148,0.049706,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
F,85,0.115520,25.987500,7.805693,0.421906,0.104934,0.167855,0.043078,[std] see the column notes below; the level is solved so that the anchor cell's first-year claim reproduces the published 4-sedae 2022 loss ratios [R12] on the published 2021 premium anchor [R1]
