rf_scenario_id,age,rf_curr,provenance
base,60,24.76,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,61,25.63,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,62,26.52,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,63,27.45,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,64,28.41,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,65,29.41,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,66,30.43,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,67,31.50,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,68,32.60,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,69,33.74,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,70,34.92,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,71,36.15,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,72,37.41,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,73,38.72,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,74,40.08,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
base,75,41.48,"[std] aktueller Rentenfaktor, EUR of monthly annuity per 10 000 EUR of capital: 31.50 at age 67, graded 3.5 pct per year of conversion age. No Rentenfaktor level, range or time series exists anywhere in the delib corpus (gap 4) [R17] [S1]"
low,60,21.79,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,61,22.55,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,62,23.34,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,63,24.16,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,64,25.00,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,65,25.88,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,66,26.78,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
low,67,27.72,"[std] low scenario = 0.88 x the base scenario, set below the guaranteed factor of model point 13 so that max(garantiert, aktuell) is exercised on its other branch [R17] [S1]"
